;links;names;addresses;states;prices;bedrooms;bathrooms;built_ups;built_years;house_types;furnishings;prices_per_sqft;images
22;https://www.propertyguru.com.my/property-listing/r-f-princess-cove-for-rent-by-irwyn-ng-31315641;R&F Princess Cove;Jalan Sultan Ibrahim Off Lebuhraya Sultan Iskandar, Tanjung Puteri, Johor Bahru, Johor;Johor;2200;3;2;1100;2018;Service Residence;Fully Furnished;2;https://my2-cdn.pgimgs.com/listing/31315641/UPHO.149093665.R400X300/R-F-Princess-Cove-Johor-Bahru-Malaysia.jpg
23;https://www.propertyguru.com.my/property-listing/sunway-geo-residences-for-rent-by-steven-wong-31315364;Sunway Geo Residences;Jalan PJS 9/1 Off Sunway South Quay, Bandar Sunway, Subang Jaya, Selangor;Selangor;3900;3;2;1109;2017;Service Residence;Fully Furnished;3.52;https://my1-cdn.pgimgs.com/listing/31315364/UPHO.149090986.R400X300/Sunway-Geo-Residences-Subang-Jaya-Malaysia.jpg
24;https://www.propertyguru.com.my/property-listing/sunway-geo-residences-for-rent-by-steven-wong-31315310;Sunway Geo Residences;Jalan PJS 9/1 Off Sunway South Quay, Bandar Sunway, Subang Jaya, Selangor;Selangor;3000;2;2;947;2017;Service Residence;Fully Furnished;3.17;https://my1-cdn.pgimgs.com/listing/31315310/UPHO.149090466.R400X300/Sunway-Geo-Residences-Subang-Jaya-Malaysia.jpg
25;https://www.propertyguru.com.my/property-listing/subang-avenue-for-rent-by-steven-wong-31315457;Subang Avenue;Jalan Kemajuan subang, Subang Jaya, Selangor;Selangor;2500;3;2;1308;N.A;Apartment;Fully Furnished;1.91;https://my2-cdn.pgimgs.com/listing/31315457/UPHO.149091795.R400X300/Subang-Avenue-Subang-Jaya-Malaysia.jpg
26;https://www.propertyguru.com.my/property-listing/subang-avenue-for-rent-by-steven-wong-31315474;Subang Avenue;Jalan Kemajuan subang, Subang Jaya, Selangor;Selangor;2500;3;2;1250;N.A;Apartment;Fully Furnished;2;https://my1-cdn.pgimgs.com/listing/31315474/UPHO.149092026.R400X300/Subang-Avenue-Subang-Jaya-Malaysia.jpg
27;https://www.propertyguru.com.my/property-listing/the-grand-subang-ss13-for-rent-by-steven-wong-31315537;The Grand Subang SS13;7-5, Jalan SS 13/4, Subang Jaya Industrial Estate, Subang Jaya, Selangor;Selangor;1800;2;1;548;N.A;Service Residence;Fully Furnished;3.28;https://my2-cdn.pgimgs.com/listing/31315537/UPHO.149092641.R400X300/The-Grand-Subang-SS13-Subang-Jaya-Malaysia.jpg
28;https://www.propertyguru.com.my/property-listing/the-grand-subang-ss13-for-rent-by-steven-wong-31315607;The Grand Subang SS13;7-5, Jalan SS 13/4, Subang Jaya Industrial Estate, Subang Jaya, Selangor;Selangor;1800;2;2;548;N.A;Service Residence;Fully Furnished;3.28;https://my2-cdn.pgimgs.com/listing/31315607/UPHO.149093401.R400X300/The-Grand-Subang-SS13-Subang-Jaya-Malaysia.jpg
29;https://www.propertyguru.com.my/property-listing/anggun-residences-for-rent-by-calvin-poh-31274093;ANGGUN RESIDENCES;ANGGUN JSI, No 8 Jalan Medan Tuanku Utama, Jalan Sultan Ismail, KL City, Kuala Lumpur;Kuala Lumpur;2900;1;1;653;2018;Service Residence;N.A;4.44;https://my2-cdn.pgimgs.com/listing/31274093/UPHO.148722935.R400X300/ANGGUN-RESIDENCES-KL-City-Malaysia.jpg
30;https://www.propertyguru.com.my/property-listing/residency-v-for-rent-by-iu-kong-hwa-31315649;Residency V;Jalan Sepadu 5 Off Taman United, Old Klang Road (Jalan Klang Lama), Kuala Lumpur;Kuala Lumpur;1950;2;2;635;2017;Service Residence;Fully Furnished;3.07;https://my1-cdn.pgimgs.com/listing/31315649/UPHO.149093734.R400X300/Residency-V-Old-Klang-Road-Jalan-Klang-Lama-Malaysia.jpg
31;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-xin-tong-30890874;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;2500;3;2;1224;2020;Service Residence;Partially Furnished;2.04;https://my1-cdn.pgimgs.com/listing/30890874/UPHO.145279798.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
32;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-xin-tong-31067156;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;1800;2;1;707;2020;Service Residence;Partially Furnished;2.55;https://my1-cdn.pgimgs.com/listing/31067156/UPHO.146864926.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
33;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-xin-tong-30781928;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;2300;3;2;1040;2020;Service Residence;Partially Furnished;2.21;https://my2-cdn.pgimgs.com/listing/30781928/UPHO.144307463.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
34;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-xin-tong-30770669;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;2500;3;2;1224;2020;Service Residence;Partially Furnished;2.04;https://my1-cdn.pgimgs.com/listing/30770669/UPHO.144208680.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
35;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-xin-tong-30831746;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;1800;1;1;661;2020;Service Residence;Partially Furnished;2.72;https://my1-cdn.pgimgs.com/listing/30831746/UPHO.144753838.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
36;https://www.propertyguru.com.my/property-listing/united-point-residence-north-kiara-for-rent-by-catherine-lim-31231049;United Point Residence @ North Kiara;Jalan Lang Emas North Kiara, Kepong, Kuala Lumpur;Kuala Lumpur;1800;2;2;829;2020;Service Residence;Partially Furnished;2.17;https://my2-cdn.pgimgs.com/listing/31231049/UPHO.148342235.R400X300/United-Point-Residence-North-Kiara-Kepong-Malaysia.jpg
37;https://www.propertyguru.com.my/property-listing/the-nest-residences-for-rent-by-iu-kong-hwa-31234075;The Nest Residences;Jalan Puchong, Off Old Klang Road, Puchong, Selangor;Selangor;1500;3;2;903;2019;Service Residence;Partially Furnished;1.66;https://my1-cdn.pgimgs.com/listing/31234075/UPHO.148370068.R400X300/The-Nest-Residences-Puchong-Malaysia.jpg
38;https://www.propertyguru.com.my/property-listing/desa-green-serviced-apartments-for-rent-by-iu-kong-hwa-30416953;Desa Green Serviced Apartments;Jalan Desa Bakti Off Taman Desa, Kuala Lumpur, Taman Desa, Kuala Lumpur;Kuala Lumpur;2000;3;2;935;N.A;Service Residence;Fully Furnished;2.14;https://my2-cdn.pgimgs.com/listing/30416953/UPHO.141130871.R400X300/Desa-Green-Serviced-Apartments-Taman-Desa-Malaysia.jpg
39;https://www.propertyguru.com.my/property-listing/casa-tropicana-for-rent-by-carson-yo-31250277;Casa Tropicana;Persiaran Tropicana, Petaling Jaya, Selangor;Selangor;1800;2;2;894;2008;Condominium;Fully Furnished;2.01;https://my2-cdn.pgimgs.com/listing/31250277/UPHO.148513815.R400X300/Casa-Tropicana-Petaling-Jaya-Malaysia.jpg
40;https://www.propertyguru.com.my/property-listing/the-astaka-1-bukit-senyum-for-rent-by-mr-tai-30892009;The Astaka @ 1 Bukit Senyum;1 Tebrau Highway, Bukit Senyum, Johor Bahru, Johor;Johor;4500;4;4;2217;2017;Service Residence;Fully Furnished;2.03;https://my2-cdn.pgimgs.com/listing/30892009/UPHO.145289443.R400X300/The-Astaka-1-Bukit-Senyum-Johor-Bahru-Malaysia.jpg
41;https://www.propertyguru.com.my/property-listing/the-astaka-1-bukit-senyum-for-rent-by-mr-tai-30840906;The Astaka @ 1 Bukit Senyum;1 Tebrau Highway, Bukit Senyum, Johor Bahru, Johor;Johor;4200;4;4;2217;2017;Service Residence;Fully Furnished;1.89;https://my1-cdn.pgimgs.com/listing/30840906/UPHO.144835830.R400X300/The-Astaka-1-Bukit-Senyum-Johor-Bahru-Malaysia.jpg
42;https://www.propertyguru.com.my/property-listing/vista-damai-for-rent-by-kenji-yap-31017033;Vista Damai;Jalan Aman Off Jalan Tun Razak / Jalan Damai, KLCC, KL City, Kuala Lumpur;Kuala Lumpur;4200;3;2;1450;N.A;Condominium;Fully Furnished;2.9;https://my1-cdn.pgimgs.com/listing/31017033/UPHO.146416320.R400X300/Vista-Damai-KL-City-Malaysia.jpg
43;https://www.propertyguru.com.my/property-listing/the-grand-subang-ss13-for-rent-by-ethan-chua-30813084;The Grand Subang SS13;7-5, Jalan SS 13/4, Subang Jaya Industrial Estate, Subang Jaya, Selangor;Selangor;2000;2;1;548;N.A;Service Residence;Fully Furnished;3.65;https://my1-cdn.pgimgs.com/listing/30813084/UPHO.149093014.R400X300/The-Grand-Subang-SS13-Subang-Jaya-Malaysia.jpg
44;https://www.propertyguru.com.my/property-listing/the-havre-bukit-jalil-for-rent-by-mason-wong-30833559;The Havre @ Bukit Jalil;The Havre Lebuhraya Bukit Jalil, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;2000;3;3;1023;2020;Condominium;Fully Furnished;1.96;https://my2-cdn.pgimgs.com/listing/30833559/UPHO.148544611.R400X300/The-Havre-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
45;https://www.propertyguru.com.my/property-listing/mercu-summer-suites-kuala-lumpur-for-rent-by-kenji-yap-31183730;Mercu Summer Suites @ Kuala Lumpur;Mercu Summer Suites Jalan Cendana, Jalan Sultan Ismail, KL City, Kuala Lumpur;Kuala Lumpur;1800;1;1;700;N.A;Apartment;Fully Furnished;2.57;https://my2-cdn.pgimgs.com/listing/31183730/UPHO.147911469.R400X300/Mercu-Summer-Suites-Kuala-Lumpur-KL-City-Malaysia.jpg
46;https://www.propertyguru.com.my/property-listing/mercu-summer-suites-kuala-lumpur-for-rent-by-kenji-yap-31091680;Mercu Summer Suites @ Kuala Lumpur;Mercu Summer Suites Jalan Cendana, Jalan Sultan Ismail, KL City, Kuala Lumpur;Kuala Lumpur;2400;1;1;600;N.A;Apartment;Fully Furnished;4;https://my2-cdn.pgimgs.com/listing/31091680/UPHO.147085287.R400X300/Mercu-Summer-Suites-Kuala-Lumpur-KL-City-Malaysia.jpg
47;https://www.propertyguru.com.my/property-listing/mercu-summer-suites-kuala-lumpur-for-rent-by-kenji-yap-31006090;Mercu Summer Suites @ Kuala Lumpur;Mercu Summer Suites Jalan Cendana, Jalan Sultan Ismail, KL City, Kuala Lumpur;Kuala Lumpur;1600;Studio;N.A;493;N.A;Apartment;Fully Furnished;3.25;https://my1-cdn.pgimgs.com/listing/31006090/UPHO.146319288.R400X300/Mercu-Summer-Suites-Kuala-Lumpur-KL-City-Malaysia.jpg
48;https://www.propertyguru.com.my/property-listing/mercu-summer-suites-kuala-lumpur-for-rent-by-kenji-yap-30998097;Mercu Summer Suites @ Kuala Lumpur;Mercu Summer Suites Jalan Cendana, Jalan Sultan Ismail, KL City, Kuala Lumpur;Kuala Lumpur;1800;Studio;N.A;493;N.A;Apartment;Fully Furnished;3.65;https://my1-cdn.pgimgs.com/listing/30998097/UPHO.146244368.R400X300/Mercu-Summer-Suites-Kuala-Lumpur-KL-City-Malaysia.jpg
49;https://www.propertyguru.com.my/property-listing/vista-damai-for-rent-by-dave-loh-31139414;Vista Damai;Jalan Aman Off Jalan Tun Razak / Jalan Damai, KLCC, KL City, Kuala Lumpur;Kuala Lumpur;4000;3;3;1450;N.A;Condominium;Fully Furnished;2.76;https://my1-cdn.pgimgs.com/listing/31139414/UPHO.147514144.R400X300/Vista-Damai-KL-City-Malaysia.jpg
50;https://www.propertyguru.com.my/property-listing/palm-spring-for-rent-by-bryan-yap-31306743;Palm Spring;1 Jalan PJU 3/23, Section 13, Kota Damansara, Kota Damansara, Damansara, Selangor;Selangor;850;Room;N.A;150;2005;Condominium;Fully Furnished;5.67;https://my2-cdn.pgimgs.com/listing/31306743/UPHO.149008495.R400X300/Palm-Spring-Damansara-Malaysia.jpg
51;https://www.propertyguru.com.my/property-listing/surin-for-rent-by-moses-chang-31315532;Surin;Tanjong Bungah, Tanjung Bungah, Timor Laut (Island), Penang;Penang;1700;3;2;1300;N.A;Condominium;N.A;1.31;https://my1-cdn.pgimgs.com/listing/31315532/UPHO.149092642.R400X300/Surin-Timor-Laut-Island-Malaysia.jpg
52;https://www.propertyguru.com.my/property-listing/ascenda-residences-skyarena-setapak-for-rent-by-maggie-kho-31315421;Ascenda Residences @ SkyArena Setapak;Jalan Arena 1, Setapak, Kuala Lumpur;Kuala Lumpur;1750;3;2;1100;2017;Condominium;Partially Furnished;1.59;https://my1-cdn.pgimgs.com/listing/31315421/UPHO.149091918.R400X300/Ascenda-Residences-SkyArena-Setapak-Setapak-Malaysia.jpg
53;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-cherry-chong-31038973;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;2300;3;2;1083;2020;Service Residence;Partially Furnished;2.12;https://my2-cdn.pgimgs.com/listing/31038973/UPHO.147140883.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
54;https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-rent-by-cherry-chong-30987755;Skyluxe On The Park @ Bukit Jalil;Jalan Jalil Perkasa 4, Bukit Jalil, Kuala Lumpur;Kuala Lumpur;1700;2;1;700;2020;Service Residence;Partially Furnished;2.43;https://my1-cdn.pgimgs.com/listing/30987755/UPHO.147140806.R400X300/Skyluxe-On-The-Park-Bukit-Jalil-Bukit-Jalil-Malaysia.jpg
55;https://www.propertyguru.com.my/property-listing/the-grand-subang-ss13-for-rent-by-steven-wong-30750906;The Grand Subang SS13;7-5, Jalan SS 13/4, Subang Jaya Industrial Estate, Subang Jaya, Selangor;Selangor;1800;2;2;548;N.A;Service Residence;Fully Furnished;3.28;https://my1-cdn.pgimgs.com/listing/30750906/UPHO.144031200.R400X300/The-Grand-Subang-SS13-Subang-Jaya-Malaysia.jpg
56;https://www.propertyguru.com.my/property-listing/nadi-bangsar-service-residence-for-rent-by-sim-31315494;Nadi Bangsar Service Residence;Jalan Tandok Off Jalan Maarof, Bangsar, Bangsar, Kuala Lumpur;Kuala Lumpur;4500;2;2;980;N.A;Service Residence;Fully Furnished;4.59;https://my1-cdn.pgimgs.com/listing/31315494/UPHO.149092196.R400X300/Nadi-Bangsar-Service-Residence-Bangsar-Malaysia.jpg
57;https://www.propertyguru.com.my/property-listing/platinum-lake-pv16-for-rent-by-mike-ooi-31315430;Platinum Lake PV16;2 Jalan Danau Saujana, Taman Danau Kota, Setapak, Kuala Lumpur;Kuala Lumpur;1800;4;2;1500;2013;Condominium;Partially Furnished;1.2;https://my1-cdn.pgimgs.com/listing/31315430/UPHO.149092006.R400X300/Platinum-Lake-PV16-Setapak-Malaysia.jpg
58;https://www.propertyguru.com.my/property-listing/shang-villa-for-rent-by-neville-p-massang-31105100;Shang Villa;Jalan SS7/15, Kelana Jaya, Petaling Jaya, Selangor;Selangor;1600;4;2;1285;N.A;Condominium;Partially Furnished;1.25;https://my1-cdn.pgimgs.com/listing/31105100/UPHO.147203268.R400X300/Shang-Villa-Petaling-Jaya-Malaysia.jpg
59;https://www.propertyguru.com.my/property-listing/southbank-residence-for-rent-by-jacky-wan-17543480;Southbank Residence;Jalan Klang Lama, Old Klang Road (Jalan Klang Lama), Kuala Lumpur;Kuala Lumpur;2250;3;2;953;2017;Service Residence;Fully Furnished;2.36;https://my2-cdn.pgimgs.com/listing/17543480/UPHO.112021727.R400X300/Southbank-Residence-Old-Klang-Road-Jalan-Klang-Lama-Malaysia.jpg
60;https://www.propertyguru.com.my/property-listing/j-dupion-cheras-for-rent-by-dickway-boo-30502698;J. Dupion, Cheras;12 Jalan Sembilang, Taman Tenaga Taman Tenaga, Cheras, Kuala Lumpur;Kuala Lumpur;3000;3;2;1125;2018;Condominium;Fully Furnished;2.67;https://my2-cdn.pgimgs.com/listing/30502698/UPHO.141854397.R400X300/J-Dupion-Cheras-Cheras-Malaysia.jpg
61;https://www.propertyguru.com.my/property-listing/gurney-paragon-for-rent-by-anthony-liong-31305538;Gurney Paragon;Gurney Paragon Persiaran Gurney, Georgetown, Penang;Penang;7500;3;2;2810;2010;Condominium;Fully Furnished;2.67;https://my2-cdn.pgimgs.com/listing/31305538/UPHO.148997911.R400X300/Gurney-Paragon-Georgetown-Malaysia.jpg
62;https://www.propertyguru.com.my/property-listing/south-view-serviced-apartments-for-rent-by-steveon-wong-29510971;South View Serviced Apartments;2 Jalan Kerinchi, Kerinchi, Bangsar South, Kuala Lumpur;Kuala Lumpur;2900;3;2;1119;2017;Service Residence;Fully Furnished;2.59;https://my2-cdn.pgimgs.com/listing/29510971/UPHO.133277013.R400X300/South-View-Serviced-Apartments-Bangsar-South-Malaysia.jpg
